iter	Passed	Remaining
0	0	79
1	1	69
2	2	66
3	2	61
4	3	61
5	3	59
6	4	58
7	5	57
8	5	56
9	6	56
10	6	55
11	7	55
12	8	54
13	8	54
14	9	53
15	10	53
16	10	52
17	11	51
18	12	51
19	12	50
20	13	50
21	13	49
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	46
28	18	45
29	19	45
30	19	44
31	20	43
32	21	43
33	21	42
34	22	41
35	23	41
36	23	40
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	28	35
45	29	34
46	30	34
47	31	33
48	31	32
49	32	32
50	33	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	27
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	40	23
64	41	22
65	42	21
66	43	21
67	43	20
68	44	20
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
