iter	Passed	Remaining
0	122	122121
1	123	61443
2	124	41248
3	124	31111
4	126	25157
5	127	21107
6	128	18221
7	129	16067
8	130	14372
9	131	13033
10	132	11924
11	134	11038
12	135	10288
13	136	9619
14	138	9112
15	139	8592
16	140	8134
17	141	7730
18	142	7365
19	143	7051
20	145	6760
21	145	6483
22	146	6230
23	147	5998
24	148	5785
25	149	5593
26	150	5420
27	151	5262
28	153	5130
29	154	4990
30	155	4858
31	156	4738
32	157	4616
33	158	4501
34	159	4395
35	160	4293
36	161	4196
37	162	4110
38	163	4025
39	164	3951
40	165	3872
41	167	3816
42	168	3747
43	169	3679
44	170	3618
45	171	3552
46	172	3494
47	173	3434
48	174	3378
49	175	3325
50	175	3274
51	176	3224
52	177	3175
53	178	3131
54	179	3085
55	180	3050
56	182	3018
57	183	2979
58	184	2943
59	185	2903
60	186	2868
61	187	2833
62	188	2800
63	189	2768
64	190	2738
65	191	2708
66	192	2678
67	193	2647
68	194	2619
69	195	2596
70	196	2574
71	197	2550
72	199	2527
73	199	2501
74	200	2477
75	201	2453
76	202	2432
77	203	2410
78	204	2387
79	205	2364
80	206	2341
81	207	2320
82	207	2295
83	208	2274
84	209	2259
85	210	2241
86	212	2226
87	213	2211
88	214	2194
89	215	2176
90	216	2158
91	216	2141
92	217	2124
93	218	2107
94	219	2090
95	220	2075
96	221	2059
97	222	2043
98	222	2029
99	223	2013
100	224	1999
101	225	1985
102	226	1974
103	227	1961
104	228	1948
105	229	1934
106	230	1921
107	231	1908
108	231	1896
109	232	1884
110	233	1872
111	234	1858
112	235	1845
113	235	1832
114	236	1818
115	236	1805
116	237	1792
117	238	1779
118	238	1767
119	239	1754
120	239	1742
121	240	1731
122	241	1724
123	242	1715
124	243	1704
125	244	1694
126	244	1682
127	245	1673
128	246	1663
129	246	1652
130	247	1642
131	248	1632
132	248	1622
133	249	1613
134	250	1603
135	250	1594
136	251	1585
137	252	1575
138	252	1566
139	253	1557
140	254	1548
141	254	1538
142	255	1529
143	256	1522
144	257	1516
145	257	1508
146	258	1499
147	259	1492
148	259	1484
149	260	1476
150	261	1469
151	261	1461
152	262	1453
153	263	1446
154	263	1438
155	264	1431
156	265	1423
157	265	1417
158	266	1409
159	267	1402
160	267	1394
161	268	1387
162	268	1380
163	269	1374
164	270	1369
165	272	1367
166	272	1361
167	273	1355
168	274	1350
169	275	1344
170	275	1337
171	276	1331
172	277	1324
173	277	1318
174	278	1312
175	278	1306
176	279	1299
177	280	1293
178	280	1288
179	281	1282
180	282	1276
181	282	1270
182	283	1265
183	284	1259
184	284	1254
185	285	1248
186	286	1245
187	287	1242
188	288	1237
189	289	1232
190	289	1226
191	290	1221
192	290	1216
193	291	1211
194	292	1206
195	292	1201
196	293	1196
197	294	1191
198	294	1187
199	295	1182
200	296	1177
201	296	1172
202	297	1167
203	298	1163
204	298	1158
205	299	1153
206	299	1148
207	300	1144
208	301	1140
209	302	1138
210	303	1133
211	303	1129
212	304	1124
213	305	1120
214	305	1116
215	306	1111
216	306	1107
217	307	1103
218	308	1098
219	308	1094
220	309	1090
221	309	1086
222	310	1082
223	311	1078
224	312	1074
225	312	1071
226	313	1068
227	314	1064
228	315	1062
229	316	1058
230	316	1055
231	318	1052
232	318	1049
233	319	1045
234	319	1041
235	320	1037
236	321	1034
237	321	1030
238	322	1026
239	323	1023
240	323	1019
241	324	1016
242	325	1012
243	325	1009
244	326	1006
245	327	1002
246	327	999
247	328	996
248	329	993
249	329	989
250	330	986
251	331	983
252	332	981
253	333	978
254	333	974
255	334	971
256	335	969
257	336	966
258	336	963
259	337	960
260	337	956
261	338	953
262	339	950
263	339	947
264	340	944
265	341	941
266	341	938
267	342	934
268	343	932
269	343	929
270	344	926
271	345	923
272	345	921
273	346	918
274	347	916
275	348	913
276	348	910
277	349	908
278	350	905
279	350	902
280	351	899
281	352	896
282	352	894
283	353	891
284	354	888
285	355	886
286	355	883
287	356	880
288	357	878
289	357	875
290	358	873
291	359	870
292	359	868
293	360	865
294	361	862
295	361	860
296	363	859
297	363	857
298	364	854
299	365	852
300	365	849
301	366	847
302	367	844
303	367	841
304	368	839
305	369	836
306	369	834
307	370	831
308	370	829
309	371	826
310	372	824
311	372	822
312	373	819
313	373	817
314	374	814
315	375	812
316	375	809
317	376	807
318	377	805
319	378	804
320	379	802
321	379	800
322	380	797
323	381	795
324	381	793
325	382	791
326	383	788
327	383	786
328	384	784
329	385	782
330	386	780
331	386	778
332	387	776
333	388	774
334	388	772
335	389	769
336	390	767
337	391	765
338	391	763
339	392	761
340	393	760
341	394	758
342	395	756
343	395	754
344	396	752
345	397	751
346	398	749
347	398	747
348	399	745
349	400	744
350	401	742
351	402	740
352	402	738
353	403	736
354	404	734
355	404	732
356	405	730
357	406	728
358	407	726
359	408	725
360	409	724
361	409	722
362	410	720
363	411	718
364	411	716
365	412	714
366	413	712
367	413	710
368	414	708
369	415	706
370	415	704
371	416	702
372	417	700
373	417	698
374	418	697
375	418	695
376	419	693
377	419	691
378	420	689
379	421	687
380	421	685
381	422	684
382	424	683
383	425	682
384	425	680
385	426	678
386	427	676
387	428	675
388	428	673
389	429	672
390	430	670
391	431	668
392	432	667
393	432	665
394	433	663
395	434	662
396	434	660
397	435	659
398	436	657
399	437	655
400	438	654
401	439	653
402	440	652
403	440	650
404	441	648
405	442	647
406	443	645
407	443	643
408	444	642
409	445	640
410	445	639
411	446	637
412	447	635
413	448	634
414	449	633
415	449	631
416	450	630
417	451	628
418	452	627
419	452	625
420	453	624
421	455	623
